 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Adipocites (2).tif (green),17,4.265,4.441,25.899,1,1,5,10,8.184,2.645,111.085,11.180,255,100,1,1,116.565,4.472
2,Adipocites (2).tif (green),3368731,801.557,1560.575,74866.439,4,3,2474,3059,2671.170,1605.739,95.893,3910.889,255,100,9,6,129.147,2469.104
3,Adipocites (2).tif (green),9,857.278,4.056,11.071,855,3,5,2,5.229,2.191,175.269,5.385,255,100,855,3,158.199,2.000
4,Adipocites (2).tif (green),15,472.767,4.967,17.071,469,4,8,2,8.550,2.234,1.590,8.246,255,100,469,6,14.036,2.000
5,Adipocites (2).tif (green),1,938.500,4.500,2.828,938,4,1,1,1.128,1.128,0.000,1.414,255,100,938,4,135.000,1.000
6,Adipocites (2).tif (green),10,1431.500,5.000,11.657,1429,4,5,2,5.642,2.257,0.000,5.385,255,100,1429,4,158.199,2.000
7,Adipocites (2).tif (green),12,1440.000,5.000,13.657,1437,4,6,2,6.770,2.257,0.000,6.325,255,100,1437,4,161.565,2.000
8,Adipocites (2).tif (green),5,1758.500,4.500,10.243,1756,4,5,1,5.642,1.128,0.000,5.099,255,100,1756,4,168.690,1.000
9,Adipocites (2).tif (green),1,1790.500,4.500,2.828,1790,4,1,1,1.128,1.128,0.000,1.414,255,100,1790,4,135.000,1.000
10,Adipocites (2).tif (green),7,1817.500,4.500,14.243,1814,4,7,1,7.899,1.128,0.000,7.071,255,100,1814,4,171.870,1.000
11,Adipocites (2).tif (green),8,1839.000,4.500,16.243,1835,4,8,1,9.027,1.128,0.000,8.062,255,100,1835,4,172.875,1.000
12,Adipocites (2).tif (green),2,1854.000,4.500,4.243,1853,4,2,1,2.257,1.128,0.000,2.236,255,100,1853,4,153.435,1.000
13,Adipocites (2).tif (green),732853,2797.559,458.987,25940.453,2228,4,1208,1432,1169.626,797.774,60.993,1692.407,255,100,2482,1434,56.056,1150.120
14,Adipocites (2).tif (green),5,1645.500,5.500,10.243,1643,5,5,1,5.642,1.128,0.000,5.099,255,100,1643,5,168.690,1.000
15,Adipocites (2).tif (green),2,2442.000,5.500,4.243,2441,5,2,1,2.257,1.128,0.000,2.236,255,100,2441,5,153.435,1.000
16,Adipocites (2).tif (green),1,2701.500,5.500,2.828,2701,5,1,1,1.128,1.128,0.000,1.414,255,100,2701,5,135.000,1.000
17,Adipocites (2).tif (green),14,2712.000,5.500,28.243,2705,5,14,1,15.797,1.128,0.000,14.036,255,100,2705,5,175.914,1.000
18,Adipocites (2).tif (green),5408,3775.421,33.264,908.406,3705,5,154,66,127.680,53.929,0.611,155.859,255,100,3705,8,171.142,65.418
19,Adipocites (2).tif (green),2,3870.000,5.500,4.243,3869,5,2,1,2.257,1.128,0.000,2.236,255,100,3869,5,153.435,1.000
20,Adipocites (2).tif (green),7,2198.214,6.929,9.657,2196,6,4,2,4.154,2.146,171.650,4.472,255,100,2196,6,153.435,2.000
21,Adipocites (2).tif (green),11,2352.773,7.045,13.071,2350,6,6,2,6.327,2.214,176.942,6.325,255,100,2350,6,161.565,2.000
22,Adipocites (2).tif (green),15,2101.767,10.633,16.485,2100,7,3,7,7.593,2.515,81.044,7.616,255,100,2100,14,66.801,3.000
