 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Mean Diameter,,Bounding Box Area,,Bounding Box Area %,,Bins
132,Image 5.tif (green),100,2243.23,1361.24,55.799,2232,1355,19,11,15.028,8.472,178.19,19.698,255,100,2232,1357,156.038,10.295,,,,,,,
411,Image 5.tif (green),101,2857.995,2695.322,52.385,2847,2690,19,10,16.831,7.641,7.363,20.248,255,100,2847,2697,20.225,10,,,,,,,
421,Image 5.tif (green),101,2136.035,2788.569,40.728,2132,2782,10,13,13.51,9.518,94.803,14.765,255,100,2132,2795,61.699,10,,,,,,,
26,Image 5.tif (green),102,3725.363,847.147,69.456,3710,839,28,12,22.18,5.855,10.65,29.12,255,100,3710,847,15.945,8.891,,,,,,,
185,Image 5.tif (green),102,3440.275,1547.912,46.385,3435,1540,10,17,17.091,7.599,75.755,18.028,255,100,3439,1557,70.56,9.459,,,,,,,
30,Image 5.tif (green),103,3148.374,858.772,61.113,3139,852,18,15,14.009,9.361,176.689,19.313,255,100,3139,859,158.749,14.559,,,,,,,
92,Image 5.tif (green),103,1917.17,1187.209,44.142,1912,1181,11,14,15.648,8.381,60.455,17.205,255,100,1913,1195,54.462,10.539,,,,,,,
205,Image 5.tif (green),104,1897.683,1604.702,46.971,1891,1600,15,10,15.718,8.425,14.509,17.493,255,100,1891,1609,30.964,10,,,,,,,
10,Image 5.tif (green),105,2992.024,762.681,63.456,2984,755,21,14,19.944,6.703,146.811,24.698,255,100,2984,756,148.241,11.28,,,,,,,
151,Image 5.tif (green),105,1145.49,1414.129,50.627,1138,1407,15,15,19.482,6.862,131.534,21.213,255,100,1138,1407,135,9.192,,,,,,,
381,Image 5.tif (green),105,1153.9,2466.757,40.627,1147,2461,13,12,13.501,9.903,153.391,14.318,255,100,1147,2464,155.225,11.371,,,,,,,
347,Image 5.tif (green),107,702.341,2303.659,54.042,698,2292,13,19,16.189,8.416,118.083,19.925,255,100,698,2292,107.526,11.595,,,,,,,
57,Image 5.tif (green),108,3659.417,1018.546,43.314,3655,1011,10,14,13.754,9.998,79.336,15.652,255,100,3656,1011,116.565,10,,,,,,,
28,Image 5.tif (green),109,3081.849,853.28,59.456,3072,847,21,14,22.204,6.25,150.568,24.698,255,100,3072,847,148.241,9.666,,,,,,,
94,Image 5.tif (green),109,1666.041,1194.133,49.556,1658,1188,13,15,15.005,9.249,112.257,17.804,255,100,1659,1188,128.157,12.849,,,,,,,
67,Image 5.tif (green),110,3644.491,1055.727,44.971,3637,1049,14,12,14.617,9.582,22.199,17.029,255,100,3637,1060,40.236,12,,,,,,,
176,Image 5.tif (green),110,1304.545,1508.227,44.385,1298,1501,11,15,15.503,9.034,95.482,15.811,255,100,1301,1501,108.435,10.889,,,,,,,
20,Image 5.tif (green),111,3419.896,815.419,71.456,3410,805,17,21,15.782,8.955,95.236,23.707,255,100,3410,805,117.646,15.421,,,,,,,
175,Image 5.tif (green),112,1214.804,1507.384,44.142,1210,1501,11,14,15.464,9.221,70.935,16.401,255,100,1210,1514,52.431,10.748,,,,,,,
360,Image 5.tif (green),113,2891.73,2349.119,53.213,2881,2345,22,8,22.223,6.474,4.707,22.561,255,100,2881,2351,12.804,8,,,,,,,
107,Image 5.tif (green),115,1525.987,1271.37,71.113,1515,1264,18,19,12.993,11.269,62.963,21.095,255,100,1515,1276,31.43,17.241,,,,,,,
180,Image 5.tif (green),116,1328.078,1539.103,65.556,1316,1529,22,14,19.143,7.715,6.283,24.187,255,100,1317,1541,29.745,12.727,,,,,,,
226,Image 5.tif (green),116,3225,1693.31,59.799,3214,1686,18,16,20.502,7.204,133.464,22.627,255,100,3216,1686,135,10.607,,,,,,,
113,Image 5.tif (green),118,2077.737,1285.746,62.627,2070,1279,23,11,16.527,9.091,173.033,23.195,255,100,2070,1286,172.569,11,,,,,,,
41,Image 5.tif (green),119,3436.34,927.492,57.698,3425,923,20,12,18.272,8.292,162.321,21.19,255,100,3425,926,160.71,11.384,,,,,,,
150,Image 5.tif (green),119,2777.458,1409.878,49.556,2771,1402,15,13,12.714,11.917,81.008,16.553,255,100,2771,1408,154.983,13,,,,,,,
216,Image 5.tif (green),121,2810.574,1658.508,56.385,2804,1652,14,18,13.796,11.167,122.465,20.125,255,100,2806,1652,116.565,13.48,,,,,,,
365,Image 5.tif (green),121,2031.483,2383.583,53.556,2024,2374,16,14,16.531,9.32,159.229,19.799,255,100,2026,2374,135,12.758,,,,,,,
23,Image 5.tif (green),122,3084.09,830.41,66.87,3073,822,20,17,15.885,9.779,15.345,21.541,255,100,3073,835,21.801,15.395,,,,,,,
377,Image 5.tif (green),123,2578.484,2448.817,80.87,2566,2444,27,12,22.973,6.817,7.6,29.155,255,100,2566,2456,22.166,11.226,,,,,,,
183,Image 5.tif (green),124,3475.839,1539.524,51.556,3467,1536,20,9,20.288,7.782,10.389,21.541,255,100,3467,1544,21.801,9,,,,,,,
288,Image 5.tif (green),125,3241.268,2033.044,59.456,3231,2026,19,14,13.74,11.583,143.739,20.248,255,100,3231,2031,159.775,14,,,,,,,
8,Image 5.tif (green),129,2997.453,743.306,56.627,2991,734,16,16,17.434,9.421,137.257,21.932,255,100,2991,734,136.848,13.435,,,,,,,
267,Image 5.tif (green),129,2803.384,1876.911,55.113,2796,1866,14,20,17.859,9.197,83.685,20.881,255,100,2800,1886,73.301,12.815,,,,,,,
253,Image 5.tif (green),130,1136.638,1836.554,57.799,1129,1827,17,15,18.418,8.987,153.916,21.401,255,100,1129,1829,142.595,12.758,,,,,,,
279,Image 5.tif (green),130,2532.169,1984.823,70.87,2525,1971,13,28,25.627,6.459,75.47,29.411,255,100,2525,1999,72.181,8.941,,,,,,,
123,Image 5.tif (green),131,2037.103,1337.218,75.113,2029,1322,14,25,19.784,8.431,108.74,27.313,255,100,2029,1322,113.749,13.411,,,,,,,
43,Image 5.tif (green),133,2095.583,947.959,52.385,2090,941,16,14,13.482,12.56,165.822,18.358,255,100,2090,954,29.358,13.396,,,,,,,
418,Image 5.tif (green),133,2618.214,2751.222,60.87,2612,2741,11,24,20.167,8.397,84.941,24.083,255,100,2619,2765,85.236,10.149,,,,,,,
130,Image 5.tif (green),134,1578.828,1353.56,60.042,1572,1344,13,22,23.343,7.309,64.456,25.554,255,100,1572,1366,59.421,9.803,,,,,,,
212,Image 5.tif (green),135,914.552,1633.722,64.87,905,1629,25,12,21.471,8.005,22.218,27.731,255,100,905,1641,25.641,10.989,,,,,,,
331,Image 5.tif (green),135,3294.744,2239.478,74.87,3282,2231,23,15,19.357,8.88,0.821,23.707,255,100,3282,2242,27.646,14.284,,,,,,,
413,Image 5.tif (green),135,3101.9,2707.804,99.355,3088,2696,26,21,16.1,10.676,175.031,26.476,255,100,3088,2707,169.114,19.104,,,,,,,
55,Image 5.tif (green),137,1745.442,1010.026,62.87,1736,1002,18,17,14.398,12.115,138.904,19.723,255,100,1739,1002,120.466,15.435,,,,,,,
133,Image 5.tif (green),138,1602.297,1370.478,91.698,1593,1359,21,21,18.949,9.273,62.508,25.807,255,100,1593,1380,54.462,16.372,,,,,,,
277,Image 5.tif (green),139,3265.91,1961.723,75.113,3255,1948,23,21,20.974,8.438,137.875,26.42,255,100,3255,1952,150.524,12.842,,,,,,,
90,Image 5.tif (green),140,1937.207,1181.3,57.556,1931,1172,11,21,20.137,8.852,102.05,23.707,255,100,1931,1172,117.646,10.041,,,,,,,
332,Image 5.tif (green),140,3061.021,2239.821,53.456,3052,2235,20,12,17.328,10.287,17.554,20.616,255,100,3052,2241,14.036,12,,,,,,,
389,Image 5.tif (green),141,2277.684,2539.77,74.627,2266,2536,28,10,24.517,7.323,3.452,28.862,255,100,2266,2544,14.036,10,,,,,,,
13,Image 5.tif (green),142,3247.577,771.965,82.527,3231,764,31,14,27.232,6.639,170.342,31.575,255,100,3231,764,169.046,10.976,,,,,,,
221,Image 5.tif (green),143,3275.808,1679.178,107.012,3267,1664,19,28,18.364,9.915,112.528,28.16,255,100,3275,1692,83.884,14.951,,,,,,,
374,Image 5.tif (green),144,1492.007,2438.924,64.627,1481,2433,24,13,23.714,7.732,17.99,25.495,255,100,1482,2446,25.56,10.302,,,,,,,
106,Image 5.tif (green),147,1463.282,1271.439,77.456,1453,1264,20,20,18.981,9.861,45.272,28.284,255,100,1453,1284,45,15.556,,,,,,,
263,Image 5.tif (green),147,3194.031,1857.201,70.627,3185,1849,19,21,23.703,7.896,130.045,27.586,255,100,3185,1849,133.531,12.728,,,,,,,
