,level_0,index, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
0,0,614,692,C2-Adipocites (2).tif,8056,1593.77,2385.907,609.855,1530,2329,118,115,109.289,93.854,43.157,124.88799999999999,255,100,1533,2406,24.101999999999997,107.992,0.5937
1,1,615,589,C2-Adipocites (2).tif,8048,1696.7179999999998,1993.7420000000002,994.087,1625,1947,142,108,111.352,92.024,33.498000000000005,153.951,255,100,1628,2024,28.729,108.0,0.5248
2,2,616,167,C2-Adipocites (2).tif,8213,691.829,822.673,992.288,624,763,125,123,106.30799999999999,98.366,160.341,125.575,255,100,624,828,5.484,107.934,0.5342
3,3,617,442,C2-Adipocites (2).tif,8065,1242.251,1561.69,638.5409999999999,1178,1514,125,91,118.97399999999999,86.311,5.3229999999999995,125.71799999999999,255,100,1179,1557,168.06400000000002,91.0,0.709
4,4,618,631,C2-Adipocites (2).tif,8207,767.327,2123.893,856.85,688,2071,139,105,115.39,90.55799999999999,8.008,157.064,255,100,688,2167,28.523000000000003,104.831,0.5623
5,5,619,708,C2-Adipocites (2).tif,8317,1330.224,2426.083,699.855,1275,2368,117,113,115.197,91.925,140.583,126.4,255,100,1283,2391,149.58,100.801,0.6291
6,6,620,663,C2-Adipocites (2).tif,8519,2729.4709999999995,2262.092,830.0210000000001,2675,2198,115,121,108.419,100.045,137.872,127.13,255,100,2715,2319,72.135,106.76899999999999,0.6122
7,8,622,572,C2-Adipocites (2).tif,8613,959.8439999999999,1953.714,907.477,897,1895,125,120,109.35,100.287,87.686,127.04700000000001,255,100,944,2015,64.847,111.068,0.5742
8,9,623,402,C2-Adipocites (2).tif,8481,1235.93,1448.45,804.85,1172,1386,128,116,118.56700000000001,91.074,26.415,131.55200000000002,255,100,1196,1500,43.768,102.081,0.5712
9,10,624,71,C2-Adipocites (2).tif,8129,3755.2729999999997,419.35400000000004,1240.982,3700,346,116,158,134.665,76.859,71.60600000000001,161.533,255,100,3742,504,76.39399999999999,94.1,0.4435
10,11,625,459,C2-Adipocites (2).tif,8523,3452.973,1620.68,711.8380000000001,3391,1566,131,132,124.819,86.94,32.749,142.667,255,100,3423,1698,62.896,96.088,0.4929
11,12,626,225,C2-Adipocites (2).tif,8628,3891.829,943.757,1351.065,3837,869,117,149,123.29799999999999,89.09700000000001,103.26100000000001,153.951,255,100,3855,869,118.729,116.947,0.4949
12,13,627,677,C2-Adipocites (2).tif,8704,2433.988,2297.795,854.2639999999999,2358,2237,136,116,120.94,91.635,144.517,154.871,255,100,2358,2251,148.465,99.925,0.5517
13,14,628,90,C2-Adipocites (2).tif,8638,1253.101,500.69199999999995,732.7669999999999,1198,440,123,131,129.296,85.06200000000001,58.20399999999999,140.528,255,100,1230,569,65.624,96.859,0.5361
14,15,629,207,C2-Adipocites (2).tif,8854,2997.167,911.198,1224.781,2938,846,116,137,123.82799999999999,91.039,73.432,145.602,255,100,2973,982,69.075,116.0,0.5571
15,16,630,573,C2-Adipocites (2).tif,8794,2368.304,1966.511,1428.705,2298,1901,163,123,127.32600000000001,87.939,6.896,163.355,255,100,2299,1995,7.386,118.585,0.4386
16,17,631,425,C2-Adipocites (2).tif,8906,1988.511,1547.704,1726.369,1926,1456,122,160,125.016,90.704,82.602,171.67700000000002,255,100,1928,1612,59.551,117.757,0.4562
17,18,632,576,C2-Adipocites (2).tif,9074,3704.534,1979.661,963.2760000000001,3633,1905,128,137,117.57799999999999,98.26100000000001,109.684,141.4,255,100,3633,1950,143.049,111.389,0.5174
18,19,633,104,C2-Adipocites (2).tif,9093,2353.748,571.88,1555.131,2282,511,149,121,116.581,99.309,157.687,154.506,255,100,2287,586,21.250999999999998,120.219,0.5044
