 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,untitled3_green_thresh.tif:Green,1.085E-4,25.328,0.099,0.029,25.323,0.094,0.010,0.010,0.012,0.012,0.000,0.015,0,2431,9,135.000,0.010
2,untitled3_green_thresh.tif:Green,1.085E-4,31.474,0.109,0.029,31.469,0.104,0.010,0.010,0.012,0.012,0.000,0.015,0,3021,10,135.000,0.010
3,untitled3_green_thresh.tif:Green,1.085E-4,39.995,0.172,0.029,39.990,0.167,0.010,0.010,0.012,0.012,0.000,0.015,0,3839,16,135.000,0.010
4,untitled3_green_thresh.tif:Green,1.085E-4,42.120,0.172,0.029,42.115,0.167,0.010,0.010,0.012,0.012,0.000,0.015,0,4043,16,135.000,0.010
5,untitled3_green_thresh.tif:Green,1.085E-4,40.130,0.245,0.029,40.125,0.240,0.010,0.010,0.012,0.012,0.000,0.015,0,3852,23,135.000,0.010
6,untitled3_green_thresh.tif:Green,1.085E-4,42.182,0.245,0.029,42.177,0.240,0.010,0.010,0.012,0.012,0.000,0.015,0,4049,23,135.000,0.010
7,untitled3_green_thresh.tif:Green,1.085E-4,33.828,0.266,0.029,33.823,0.260,0.010,0.010,0.012,0.012,0.000,0.015,0,3247,25,135.000,0.010
8,untitled3_green_thresh.tif:Green,1.085E-4,35.339,0.422,0.029,35.333,0.417,0.010,0.010,0.012,0.012,0.000,0.015,0,3392,40,135.000,0.010
9,untitled3_green_thresh.tif:Green,1.085E-4,40.755,0.432,0.029,40.750,0.427,0.010,0.010,0.012,0.012,0.000,0.015,0,3912,41,135.000,0.010
10,untitled3_green_thresh.tif:Green,1.085E-4,40.703,0.484,0.029,40.698,0.479,0.010,0.010,0.012,0.012,0.000,0.015,0,3907,46,135.000,0.010
11,untitled3_green_thresh.tif:Green,1.085E-4,36.380,0.568,0.029,36.375,0.562,0.010,0.010,0.012,0.012,0.000,0.015,0,3492,54,135.000,0.010
12,untitled3_green_thresh.tif:Green,1.085E-4,41.099,0.714,0.029,41.094,0.708,0.010,0.010,0.012,0.012,0.000,0.015,0,3945,68,135.000,0.010
13,untitled3_green_thresh.tif:Green,1.085E-4,38.620,0.745,0.029,38.615,0.740,0.010,0.010,0.012,0.012,0.000,0.015,0,3707,71,135.000,0.010
14,untitled3_green_thresh.tif:Green,1.085E-4,33.151,1.120,0.029,33.146,1.115,0.010,0.010,0.012,0.012,0.000,0.015,0,3182,107,135.000,0.010
15,untitled3_green_thresh.tif:Green,1.085E-4,39.797,1.172,0.029,39.792,1.167,0.010,0.010,0.012,0.012,0.000,0.015,0,3820,112,135.000,0.010
16,untitled3_green_thresh.tif:Green,1.085E-4,42.214,1.193,0.029,42.208,1.188,0.010,0.010,0.012,0.012,0.000,0.015,0,4052,114,135.000,0.010
17,untitled3_green_thresh.tif:Green,1.085E-4,42.182,1.203,0.029,42.177,1.198,0.010,0.010,0.012,0.012,0.000,0.015,0,4049,115,135.000,0.010
18,untitled3_green_thresh.tif:Green,1.085E-4,33.411,1.234,0.029,33.406,1.229,0.010,0.010,0.012,0.012,0.000,0.015,0,3207,118,135.000,0.010
19,untitled3_green_thresh.tif:Green,1.085E-4,23.120,1.422,0.029,23.115,1.417,0.010,0.010,0.012,0.012,0.000,0.015,0,2219,136,135.000,0.010
