 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,Average Diameter
743,cells4.jpg,100,195.25,548.42,55.355,186,539,15,16,12.785,9.959,111.13,17,255,100,193,539,118.072,12.6,11.372
1071,cells4.jpg,100,285.58,769.65,43.113,278,763,15,12,14.449,8.812,18.98,16.553,255,100,278,774,25.017,10.883,11.6305
1325,cells4.jpg,100,2344.46,951.37,67.598,2338,943,17,19,14.369,8.861,59.703,20.248,255,100,2338,959,32.905,14.269,11.615
2515,cells4.jpg,100,1197.63,1904.48,50.627,1186,1900,22,8,21.021,6.057,10.056,22.091,255,100,1186,1906,5.194,7.155,13.539
2891,cells4.jpg,100,1681.8,2204.93,72.284,1675,2191,18,20,13.957,9.122,136.991,23.345,255,100,1677,2191,133.264,14.408,11.5395
866,cells4.jpg,101,3273.817,632.787,84.669,3264,623,19,20,18.218,7.059,54.508,26.87,255,100,3264,643,45,12.969,12.6385
1243,cells4.jpg,101,653.866,888.332,52.385,649,882,11,13,12.408,10.364,93.114,16.401,255,100,649,882,127.569,11,11.386
1265,cells4.jpg,101,2063.718,906.084,64.77,2054,897,17,18,15.031,8.555,123.167,19.849,255,100,2054,902,139.086,14.487,11.793
1633,cells4.jpg,101,3486.48,1178.104,54.87,3476,1171,19,12,15.446,8.326,170.732,19.416,255,100,3476,1177,168.111,11.126,11.886
3343,cells4.jpg,101,3388.916,2644.559,49.213,3383,2638,13,13,12.525,10.267,3.071,16.401,255,100,3383,2649,37.569,12.494,11.396
3380,cells4.jpg,101,3380.569,2687.064,65.012,3368,2681,22,12,17.629,7.295,158.659,22.561,255,100,3368,2681,167.196,10.59,12.462
3607,cells4.jpg,101,1313.203,2954.084,79.255,1301,2946,26,14,21.45,5.995,161.965,27.203,255,100,1301,2949,162.897,11.03,13.7225
3711,cells4.jpg,101,2044.005,3053.124,60.284,2039,3045,13,15,14.152,9.087,119.25,18.028,255,100,2041,3045,123.69,13,11.6195
334,cells4.jpg,102,1967.382,266.725,48.042,1961,260,13,14,14.324,9.067,120.667,17.205,255,100,1963,260,125.538,10.989,11.6955
394,cells4.jpg,102,2370.196,315.863,61.113,2366,306,9,20,17.757,7.314,91.824,20.396,255,100,2367,326,78.69,9,12.5355
1309,cells4.jpg,102,2862.784,937.52,56.284,2853,932,17,12,12.536,10.36,40.827,17.72,255,100,2853,940,16.39,12,11.448
2635,cells4.jpg,102,2244.529,1983.225,49.213,2237,1979,15,11,15.154,8.57,14.306,16.553,255,100,2237,1986,25.017,10.522,11.862
3617,cells4.jpg,102,1212.784,2962.931,54.527,1206,2957,16,13,13.982,9.288,5.128,16.125,255,100,1206,2961,172.875,12.075,11.635
3642,cells4.jpg,102,1465.363,2996.51,61.355,1459,2986,13,20,15.56,8.346,78.743,20.224,255,100,1464,3006,81.469,12.355,11.953
1606,cells4.jpg,103,4073.141,1164.898,59.941,4067,1153,12,23,16.472,7.962,115.792,25.08,255,100,4069,1153,113.499,11.088,12.217
