 ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret
1,Image 7.tif (green),2381887,745.714,1084.459,61316.982,4,5,2524,3048,2091.684,1449.890,54.275,3495.984,255,100,16,3050,45.301,2495.594
2,Image 7.tif (green),2591523,3439.044,926.276,29009.748,1607,5,2482,3050,2620.893,1258.972,118.872,3904.404,255,100,1613,8,129.263,2009.085
3,Image 7.tif (green),105,1360.043,10.643,60.284,1349,7,23,9,19.203,6.962,177.887,23.345,255,100,1349,11,9.866,9.000
4,Image 7.tif (green),282,1513.631,14.915,125.640,1496,8,34,19,24.616,14.586,178.733,34.366,255,100,1496,13,8.366,19.000
5,Image 7.tif (green),471,1558.152,40.360,244.108,1532,14,48,43,29.633,20.238,37.274,48.508,255,100,1532,39,171.703,37.291
6,Image 7.tif (green),234,1335.915,23.385,139.882,1313,16,39,18,28.906,10.307,175.147,39.205,255,100,1313,23,174.144,16.516
7,Image 7.tif (green),103,1428.073,24.422,63.355,1421,16,18,16,13.532,9.691,177.872,18.974,255,100,1421,21,161.565,14.142
8,Image 7.tif (green),183,1473.828,33.533,75.012,1461,27,27,14,26.689,8.730,18.097,28.460,255,100,1461,39,18.435,12.737
9,Image 7.tif (green),220,1331.673,52.614,79.598,1323,43,17,24,20.204,13.864,102.232,25.495,255,100,1326,44,115.560,16.896
10,Image 7.tif (green),130,1488.523,50.431,54.284,1481,43,13,17,16.862,9.816,111.615,19.723,255,100,1483,43,120.466,12.017
11,Image 7.tif (green),172,1434.558,60.907,99.255,1418,56,35,13,31.100,7.042,8.712,35.228,255,100,1418,62,6.520,11.597
12,Image 7.tif (green),223,1633.119,75.083,86.669,1625,61,18,28,29.003,9.790,121.834,31.305,255,100,1626,61,116.565,13.529
13,Image 7.tif (green),126,1448.865,73.937,65.941,1442,66,16,16,13.802,11.624,144.437,19.209,255,100,1443,67,141.340,15.876
14,Image 7.tif (green),14616,1458.015,194.748,2320.986,1372,73,166,242,194.422,95.718,101.047,254.951,255,100,1397,83,115.560,165.648
15,Image 7.tif (green),2616,1534.531,122.209,630.299,1492,73,92,100,90.099,36.968,63.000,112.201,255,100,1494,158,36.666,60.653
16,Image 7.tif (green),551,1715.010,98.028,224.066,1695,73,46,54,38.971,18.002,116.783,59.548,255,100,1695,87,139.086,30.223
17,Image 7.tif (green),5713,1655.795,163.586,1310.698,1582,93,167,138,119.726,60.756,44.042,182.661,255,100,1582,226,23.899,116.300
18,Image 7.tif (green),108,1769.500,102.157,57.213,1762,96,15,16,14.616,9.408,152.517,21.260,255,100,1762,96,131.186,13.422
19,Image 7.tif (green),336,1601.179,126.167,178.853,1586,106,31,36,26.848,15.934,76.277,39.962,255,100,1586,140,58.299,23.513
20,Image 7.tif (green),157,1811.742,118.080,82.184,1801,109,20,17,20.480,9.760,141.656,25.612,255,100,1801,109,141.340,13.507
21,Image 7.tif (green),213,1322.650,126.430,151.196,1314,111,19,41,27.983,9.692,67.576,44.283,255,100,1314,152,64.592,18.122
22,Image 7.tif (green),353,1837.885,127.848,181.196,1820,112,36,37,31.073,14.464,44.990,42.190,255,100,1820,139,31.430,21.920
23,Image 7.tif (green),100,1502.560,130.450,60.770,1497,122,11,20,18.429,6.909,81.975,20.616,255,100,1498,141,67.166,11.000
