, ,Label,Area,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Feret,Median,%Area,FeretX,FeretY,FeretAngle,MinFeret,area_bbx_ratio
0,1,hfd28 ep1 tip.tif  (red) thresh.tif,4287,1536.227,32.993,628.742,1455,6,143,67,108.781,50.178000000000004,4.697,143.892,255,100,1455,25,6.3839999999999995,65.6,0.4474
1,2,hfd28 ep1 tip.tif  (red) thresh.tif,3341,2881.597,27.834,324.16700000000003,2829,6,104,49,93.414,45.538000000000004,178.217,104.48,255,100,2829,16,174.50799999999998,49.0,0.6556
2,3,hfd28 ep1 tip.tif  (red) thresh.tif,5589,1640.7060000000001,48.58,543.446,1592,7,103,90,90.259,78.84100000000001,30.846,111.615,255,100,1592,59,22.659000000000002,88.54899999999999,0.6029
3,4,hfd28 ep1 tip.tif  (red) thresh.tif,9259,2599.688,63.246,1069.193,2503,7,184,130,163.795,71.97399999999999,148.42,189.024,255,100,2509,9,144.039,112.035,0.3871
4,5,hfd28 ep1 tip.tif  (red) thresh.tif,10162,3337.723,85.348,963.0089999999999,3276,7,128,161,166.31799999999998,77.795,75.351,186.762,255,100,3276,146,46.736000000000004,105.189,0.4931
5,6,hfd28 ep1 tip.tif  (red) thresh.tif,4886,3531.243,51.492,916.482,3434,7,173,103,157.336,39.54,152.029,197.368,255,100,3434,10,151.227,65.988,0.2742
6,7,hfd28 ep1 tip.tif  (red) thresh.tif,9663,1801.9229999999998,51.3,1197.803,1697,8,198,96,172.18200000000002,71.455,173.75,199.218,255,100,1697,42,173.66,95.14299999999999,0.5084
7,8,hfd28 ep1 tip.tif  (red) thresh.tif,4569,2166.981,39.398,463.70599999999996,2124,8,100,81,89.071,65.313,21.976,102.616,255,100,2125,50,15.255,80.67,0.5641
8,9,hfd28 ep1 tip.tif  (red) thresh.tif,27235,3001.698,106.40700000000001,2690.5840000000003,2822,8,346,184,286.063,121.22,0.86,346.63699999999994,255,100,2822,101,176.52700000000002,170.317,0.4278
9,10,hfd28 ep1 tip.tif  (red) thresh.tif,5389,2431.604,53.541000000000004,765.47,2377,9,109,90,93.055,73.736,19.114,119.57,255,100,2378,88,29.566999999999997,86.329,0.5493
10,11,hfd28 ep1 tip.tif  (red) thresh.tif,3341,2770.982,44.032,496.86,2726,11,91,74,78.207,54.393,155.338,92.228,255,100,2726,37,170.64,61.415,0.4961
11,12,hfd28 ep1 tip.tif  (red) thresh.tif,5361,2251.653,61.538000000000004,390.777,2196,18,115,97,129.873,52.558,43.18,139.52100000000002,255,100,2196,102,34.486999999999995,62.125,0.4806
12,13,hfd28 ep1 tip.tif  (red) thresh.tif,6519,3233.9570000000003,72.706,500.57599999999996,3177,23,112,100,96.335,86.16,169.924,116.211,255,100,3177,88,15.470999999999998,87.969,0.5821
13,14,hfd28 ep1 tip.tif  (red) thresh.tif,5371,3425.992,83.944,541.688,3382,34,93,99,87.334,78.304,123.116,101.84299999999999,255,100,3406,36,109.50200000000001,90.186,0.5834
14,15,hfd28 ep1 tip.tif  (red) thresh.tif,4500,2315.2329999999997,101.324,897.0089999999999,2250,50,120,107,120.50399999999999,47.547,38.492,137.637,255,100,2254,148,35.538000000000004,65.679,0.3505
15,16,hfd28 ep1 tip.tif  (red) thresh.tif,7614,2726.325,123.09700000000001,743.955,2672,53,112,134,115.01899999999999,84.286,72.30199999999999,134.648,255,100,2706,53,98.973,92.897,0.5073
16,17,hfd28 ep1 tip.tif  (red) thresh.tif,5368,2531.877,113.72,684.6,2470,67,107,101,98.594,69.322,139.332,112.294,255,100,2500,67,118.163,89.595,0.4967
17,18,hfd28 ep1 tip.tif  (red) thresh.tif,12864,2073.656,128.143,932.423,1969,78,208,104,205.435,79.72800000000001,176.86700000000002,208.959,255,100,1969,134,5.492000000000001,103.04,0.5947
18,19,hfd28 ep1 tip.tif  (red) thresh.tif,4358,1572.128,129.6,779.855,1534,81,80,109,84.971,65.30199999999999,86.199,116.81200000000001,255,100,1546,81,111.073,79.339,0.4998
19,20,hfd28 ep1 tip.tif  (red) thresh.tif,4701,3499.309,125.243,481.30400000000003,3458,81,87,98,97.681,61.276,56.828,106.042,255,100,3471,171,51.50899999999999,66.468,0.5514
20,21,hfd28 ep1 tip.tif  (red) thresh.tif,8307,1770.8970000000002,141.601,638.4580000000001,1721,85,113,120,108.92299999999999,97.103,31.43,133.225,255,100,1729,199,37.988,110.648,0.6126
21,22,hfd28 ep1 tip.tif  (red) thresh.tif,4646,1666.889,141.075,680.6,1620,87,83,102,91.12299999999999,64.917,83.025,109.12799999999999,255,100,1641,185,62.731,83.0,0.5488
22,23,hfd28 ep1 tip.tif  (red) thresh.tif,4943,2394.826,149.761,451.36199999999997,2358,99,85,99,94.14,66.854,69.068,105.41799999999999,255,100,2364,194,46.922,80.154,0.5874
23,24,hfd28 ep1 tip.tif  (red) thresh.tif,5222,2803.9770000000003,169.199,594.073,2756,113,95,101,91.75,72.467,56.971000000000004,107.154,255,100,2802,113,112.49600000000001,89.211,0.5442
24,25,hfd28 ep1 tip.tif  (red) thresh.tif,7232,3578.655,163.809,552.0319999999999,3520,114,118,105,100.84899999999999,91.306,11.737,118.10600000000001,255,100,3520,170,2.426,101.41799999999999,0.5837
25,26,hfd28 ep1 tip.tif  (red) thresh.tif,3109,2198.862,170.44400000000002,537.061,2162,121,77,89,77.214,51.266999999999996,58.135,90.554,255,100,2170,202,43.21,62.356,0.4537
26,27,hfd28 ep1 tip.tif  (red) thresh.tif,3853,3214.6740000000004,169.91099999999997,407.664,3170,128,91,78,78.388,62.583999999999996,174.945,92.41799999999999,255,100,3171,168,13.134,73.383,0.5428
27,28,hfd28 ep1 tip.tif  (red) thresh.tif,6383,2470.535,188.43099999999998,655.955,2418,133,108,118,109.552,74.185,57.685,125.399,255,100,2427,246,57.70399999999999,84.697,0.5009
28,29,hfd28 ep1 tip.tif  (red) thresh.tif,6768,1875.115,184.683,506.333,1826,134,102,101,95.536,90.2,101.23700000000001,105.209,255,100,1846,229,53.893,99.962,0.657
29,30,hfd28 ep1 tip.tif  (red) thresh.tif,4185,3409.347,185.80200000000002,631.5880000000001,3366,141,87,90,79.411,67.1,66.281,96.426,255,100,3377,219,40.795,82.088,0.5345
30,31,hfd28 ep1 tip.tif  (red) thresh.tif,8233,2626.902,194.25599999999997,501.30400000000003,2569,144,117,109,114.74,91.359,32.463,128.16,255,100,2590,252,57.426,98.206,0.6456
31,32,hfd28 ep1 tip.tif  (red) thresh.tif,8631,2292.632,205.76,518.617,2230,150,121,111,120.085,91.51299999999999,33.617,133.6,255,100,2233,236,36.784,101.16799999999999,0.6426
32,33,hfd28 ep1 tip.tif  (red) thresh.tif,12097,3331.551,240.37099999999998,1191.5610000000001,3251,159,175,164,174.845,88.09200000000001,131.463,187.72299999999998,255,100,3275,159,128.946,118.22,0.4215
33,34,hfd28 ep1 tip.tif  (red) thresh.tif,4235,3021.696,211.798,431.463,2972,168,97,80,91.506,58.927,33.661,103.325,255,100,2982,240,42.647,68.613,0.5457
34,35,hfd28 ep1 tip.tif  (red) thresh.tif,7358,3120.4159999999997,216.926,571.889,3068,169,110,101,101.99799999999999,91.85,61.327,114.62100000000001,255,100,3090,266,54.23,96.25299999999999,0.6623
35,36,hfd28 ep1 tip.tif  (red) thresh.tif,3794,1164.481,200.715,319.421,1111,170,105,68,84.92200000000001,56.88399999999999,173.98,105.304,255,100,1111,201,4.357,64.531,0.5314
36,37,hfd28 ep1 tip.tif  (red) thresh.tif,3273,2078.788,210.645,461.404,2026,171,98,78,86.307,48.285,156.263,99.464,255,100,2026,196,170.15900000000002,56.85,0.4282
37,38,hfd28 ep1 tip.tif  (red) thresh.tif,4136,2906.902,221.388,568.5169999999999,2861,179,89,79,82.4,63.909,14.052999999999999,97.17,255,100,2861,245,23.663,75.307,0.5883
38,39,hfd28 ep1 tip.tif  (red) thresh.tif,16385,2564.83,298.233,1471.869,2464,195,197,193,193.396,107.87200000000001,149.282,212.532,255,100,2533,195,118.374,149.833,0.4309
